ModChr,ModStart,ModEnd,Strand,ModID,ModType,Motif score,Support Num,Cell/Tissue,Seq Type,Transcript ID Num,Conserved Sites Num,snoRNA List,Writer Name,source_table
1,107057911,107057912,+,m7G_site_48,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",3,0,na,na,RMBase_m7G
1,107570839,107570840,-,Nm_site_262,Um,noScore,2,"HEK293,cytosolic",RiboMeth-seq,1,0,na,"FBL,NOP56,NOP58",RMBase_2O-Me
1,107570853,107570854,-,Nm_site_263,Am,noScore,4,"HEK293,cytosolic",RiboMeth-seq,1,0,SNORD68,"FBL,NOP56,NOP58",RMBase_2O-Me
1,108200070,108200071,-,m7G_site_49,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",4,0,na,na,RMBase_m7G
1,108903136,108903137,+,m7G_site_50,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",5,0,na,na,RMBase_m7G
1,109213914,109213915,+,m7G_site_51,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",0,0,na,na,RMBase_m7G
1,109548630,109548631,+,m7G_site_52,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",1,0,na,na,RMBase_m7G
1,112674691,112674692,+,m7G_site_53,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",3,0,na,na,RMBase_m7G
1,112674692,112674693,+,m7G_site_54,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",3,0,na,na,RMBase_m7G
1,114708175,114708176,-,m7G_site_55,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",1,0,na,na,RMBase_m7G
1,114716755,114716756,-,m7G_site_56,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",1,0,na,na,RMBase_m7G
1,120844276,120844277,-,m1A_site_57,m1A,noScore,2,"HEK293T,cytosolic",m1A-MAP-seq,2,0,na,na,RMBase_m1A
1,120844279,120844280,-,Pseudo_site_296,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,120844280,120844281,-,otherMod_site_53,xU,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,120844287,120844288,-,otherMod_site_54,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,120844297,120844298,-,otherMod_site_55,t6A,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,120844300,120844301,-,otherMod_site_56,QtRNA,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,120844306,120844307,-,Pseudo_site_297,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,120844307,120844308,-,Pseudo_site_298,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,120844308,120844309,-,otherMod_site_57,"m2,2G",noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,120945296,120945297,+,otherMod_site_59,m1G,noScore,1,cytosolic,na,7,0,na,na,RMBase_other
1,120945297,120945298,+,otherMod_site_60,m2G,noScore,1,cytosolic,na,7,0,na,na,RMBase_other
1,120945303,120945304,+,otherMod_site_61,D,noScore,1,cytosolic,na,7,0,na,na,RMBase_other
1,120952305,120952306,-,m1A_site_58,m1A,noScore,1,cytosolic,na,4,0,na,na,RMBase_m1A
1,121009561,121009562,-,Pseudo_site_304,Y,noScore,1,cytosolic,na,2,0,na,na,RMBase_v3_human_original
1,121016896,121016897,-,otherMod_site_62,D,noScore,1,cytosolic,na,3,0,na,na,RMBase_other
1,121020743,121020744,-,m1A_site_60,m1A,noScore,2,"HEK293T,cytosolic",m1A-MAP-seq,3,0,na,na,RMBase_m1A
1,121020746,121020747,-,Pseudo_site_307,Y,noScore,1,cytosolic,na,2,0,na,na,RMBase_v3_human_original
1,121020752,121020753,-,m5C_site_3186,m5C,noScore,1,cytosolic,na,3,0,na,NSUN2,RMBase_m5C
1,121020753,121020754,-,m5C_site_3187,m5C,noScore,1,cytosolic,na,3,0,na,NSUN2,RMBase_m5C
1,121020754,121020755,-,otherMod_site_63,D,noScore,1,cytosolic,na,3,0,na,na,RMBase_other
1,121020781,121020782,-,otherMod_site_64,D,noScore,1,cytosolic,na,3,0,na,na,RMBase_other
1,121020782,121020783,-,otherMod_site_65,D,noScore,1,cytosolic,na,3,0,na,na,RMBase_other
1,121020785,121020786,-,otherMod_site_66,D,noScore,1,cytosolic,na,3,0,na,na,RMBase_other
1,121020788,121020789,-,Pseudo_site_308,Y,noScore,1,cytosolic,na,2,0,na,na,RMBase_v3_human_original
1,12847517,12847518,-,m7G_site_7,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",1,0,na,na,RMBase_m7G
1,1336454,1336455,-,m7G_site_1,m7G,noScore,2,"A549,HeLa,HepG2","BoRed-seq&m7G-RIP-seq,m7G-seq",4,0,na,na,RMBase_m7G
1,143661233,143661234,-,otherMod_site_67,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143661234,143661235,-,otherMod_site_68,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143661237,143661238,-,otherMod_site_69,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143735945,143735946,-,otherMod_site_71,D,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143735955,143735956,-,otherMod_site_72,t6A,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143735958,143735959,-,otherMod_site_73,QtRNA,noScore,1,cytosolic,na,2,0,na,na,RMBase_other
1,143735964,143735965,-,Pseudo_site_312,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,143735965,143735966,-,Pseudo_site_313,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,143789912,143789913,-,Pseudo_site_314,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,143789913,143789914,-,Pseudo_site_315,Y,noScore,1,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,143792741,143792742,-,Pseudo_site_316,Y,noScore,2,cytosolic,na,1,0,na,na,RMBase_v3_human_original
1,143804017,143804018,-,m5C_site_3213,m5C,noScore,2,cytosolic,na,2,0,na,na,RMBase_m5C
1,143804018,143804019,-,m5C_site_3214,m5C,noScore,2,cytosolic,na,2,0,na,na,RMBase_m5C
